"feature" "method" "group1" "group2" "p_values" "adj_method" "p_adjust" "description"
"1" "AEROBACTINSYN-PWY" "DESeq2" "PPMS" "Control" "0.000491444031879975" "BH" 0.0081965843888553 "aerobactin biosynthesis"
"2" "ANAGLYCOLYSIS-PWY" "DESeq2" "RRMS" "Control" "0.0022084050344985" "BH" 0.00745138101568199 "glycolysis III (from glucose)"
"3" "ARGDEG-PWY" "DESeq2" "SPMS" "Control" "0.0014605514108027" "BH" 0.0113679584807477 "superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
"4" "ARGSYN-PWY" "DESeq2" "RRMS" "Control" "0.00127032494254539" "BH" 0.0046911999846755 "L-arginine biosynthesis I (via L-ornithine)"
"5" "AST-PWY" "DESeq2" "PPMS" "Control" "0.000174951275363454" "BH" 0.00408511227973665 "L-arginine degradation II (AST pathway)"
"6" "COA-PWY" "DESeq2" "RRMS" "Control" "0.000329678518062263" "BH" 0.00154619224971201 "coenzyme A biosynthesis I"
"7" "COBALSYN-PWY" "DESeq2" "RRMS" "Control" "0.000788566147284631" "BH" 0.0032441887989166 "adenosylcobalamin salvage from cobinamide I"
"8" "COLANSYN-PWY" "DESeq2" "SPMS" "Control" "0.000251538319414998" "BH" 0.00255366076449574 "colanic acid building blocks biosynthesis"
"9" "ECASYN-PWY" "DESeq2" "RRMS" "Control" "0.00158161836495658" "BH" 0.00570599240895874 "enterobacterial common antigen biosynthesis"
"10" "ECASYN-PWY" "DESeq2" "SPMS" "Control" "0.000141343781187164" "BH" 0.00173104959255336 "enterobacterial common antigen biosynthesis"
"11" "GLCMANNANAUT-PWY" "DESeq2" "PPMS" "Control" "0.000706326328980233" "BH" 0.00999558774647784 "superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"12" "GLUCOSE1PMETAB-PWY" "DESeq2" "PPMS" "Control" "0.000664889849201955" "BH" 0.00970323623679103 "glucose and glucose-1-phosphate degradation"
"13" "GLYCOCAT-PWY" "DESeq2" "RRMS" "Control" "0.000936216882710656" "BH" 0.0036897959495067 "glycogen degradation I (bacterial)"
"14" "GLYCOGENSYNTH-PWY" "DESeq2" "PPMS" "Control" "0.00159632295615269" "BH" 0.0191149441159822 "glycogen biosynthesis I (from ADP-D-Glucose)"
"15" "GLYCOGENSYNTH-PWY" "DESeq2" "SPMS" "Control" "0.000139480379889718" "BH" 0.00173104959255336 "glycogen biosynthesis I (from ADP-D-Glucose)"
"16" "GLYCOLYSIS-E-D" "DESeq2" "RRMS" "Control" "0.000381340057554565" "BH" 0.00175341653914795 "superpathway of glycolysis and Entner-Doudoroff"
"17" "GLYCOLYSIS-TCA-GLYOX-BYPASS" "DESeq2" "RRMS" "Control" "0.0034204449870313" "BH" 0.0106237662179979 "superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
"18" "GLYOXYLATE-BYPASS" "DESeq2" "RRMS" "Control" "0.000290375051686195" "BH" 0.00137561514384672 "glyoxylate cycle"
"19" "HEME-BIOSYNTHESIS-II" "DESeq2" "RRMS" "Control" "0.00339339287289564" "BH" 0.010610008382587 "heme biosynthesis I (aerobic)"
"20" "HEMESYN2-PWY" "DESeq2" "RRMS" "Control" "0.00142897351904516" "BH" 0.00523584828462641 "heme biosynthesis II (anaerobic)"
"21" "HISTSYN-PWY" "DESeq2" "RRMS" "Control" "0.00103083833014128" "BH" 0.00399556344492777 "L-histidine biosynthesis"
"22" "ILEUSYN-PWY" "DESeq2" "RRMS" "Control" "0.000253774194302429" "BH" 0.00121449078701877 "L-isoleucine biosynthesis I (from threonine)"
"23" "KDO-NAGLIPASYN-PWY" "DESeq2" "RRMS" "Control" "0.00245325096831298" "BH" 0.00821839074384848 "superpathway of (Kdo)2-lipid A biosynthesis"
"24" "LPSSYN-PWY" "DESeq2" "SPMS" "Control" "0.00177100535678557" "BH" 0.013294036591494 "superpathway of lipopolysaccharide biosynthesis"
"25" "METH-ACETATE-PWY" "DESeq2" "SPMS" "Control" "0.00487998312093456" "BH" 0.0281713883230436 "methanogenesis from acetate"
"26" "NONMEVIPP-PWY" "DESeq2" "RRMS" "Control" "0.000120816041747593" "BH" 0.000666620277407307 "methylerythritol phosphate pathway I"
"27" "OANTIGEN-PWY" "DESeq2" "RRMS" "Control" "0.000135190258470182" "BH" 0.000712407092387813 "O-antigen building blocks biosynthesis (E. coli)"
"28" "OANTIGEN-PWY" "DESeq2" "SPMS" "Control" "0.00136050035870007" "BH" 0.0109543735778092 "O-antigen building blocks biosynthesis (E. coli)"
"29" "ORNARGDEG-PWY" "DESeq2" "SPMS" "Control" "0.0014605514108027" "BH" 0.0113679584807477 "superpathway of L-arginine and L-ornithine degradation"
"30" "P108-PWY" "DESeq2" "SPMS" "Control" "0.00115191530363941" "BH" 0.00978080812362917 "pyruvate fermentation to propanoate I"
"31" "P125-PWY" "DESeq2" "PPMS" "Control" "0.00287735827205215" "BH" 0.0305392343874626 "superpathway of (R,R)-butanediol biosynthesis"
"32" "P125-PWY" "DESeq2" "SPMS" "Control" "0.000786385087550863" "BH" 0.00706234299781256 "superpathway of (R,R)-butanediol biosynthesis"
"33" "P161-PWY" "DESeq2" "PPMS" "Control" "0.00473035374976039" "BH" 0.0460900575158823 "acetylene degradation"
"34" "P161-PWY" "DESeq2" "RRMS" "Control" "0.000336601691887322" "BH" 0.0015630316187639 "acetylene degradation"
"35" "P162-PWY" "DESeq2" "SPMS" "Control" "0.00475138731541982" "BH" 0.0280873148898868 "L-glutamate degradation V (via hydroxyglutarate)"
"36" "P221-PWY" "DESeq2" "PPMS" "Control" "0.00250126249628766" "BH" 0.0271648740875892 "octane oxidation"
"37" "P221-PWY" "DESeq2" "SPMS" "Control" "0.00391910043526462" "BH" 0.0237227166628546 "octane oxidation"
"38" "P23-PWY" "DESeq2" "RRMS" "Control" "0.00198225564799255" "BH" 0.00688650295487782 "reductive TCA cycle I"
"39" "P241-PWY" "DESeq2" "SPMS" "Control" "0.00087726045534574" "BH" 0.00772982325748039 "coenzyme B biosynthesis"
"40" "P341-PWY" "DESeq2" "PPMS" "Control" "0.000220786630788941" "BH" 0.00412429426313742 "glycolysis V (Pyrococcus)"
"41" "P4-PWY" "DESeq2" "PPMS" "Control" "0.00112484243926527" "BH" 0.0141973356523481 "superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"42" "P441-PWY" "DESeq2" "SPMS" "Control" "0.00122968260935347" "BH" 0.010254674617287 "superpathway of N-acetylneuraminate degradation"
"43" "POLYAMINSYN3-PWY" "DESeq2" "SPMS" "Control" "0.000226281192081141" "BH" 0.00234829592670873 "superpathway of polyamine biosynthesis II"
"44" "PPGPPMET-PWY" "DESeq2" "RRMS" "Control" "0.00122731340929359" "BH" 0.00456833324570392 "ppGpp biosynthesis"
"45" "PPGPPMET-PWY" "DESeq2" "SPMS" "Control" "0.000521160508137609" "BH" 0.00496697872041354 "ppGpp biosynthesis"
"46" "PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY" "DESeq2" "SPMS" "Control" "0.000177975329590935" "BH" 0.00202718241265772 "protocatechuate degradation II (ortho-cleavage pathway)"
"47" "PRPP-PWY" "DESeq2" "RRMS" "Control" "0.00118215537512593" "BH" 0.00443544696747249 "superpathway of histidine, purine, and pyrimidine biosynthesis"
"48" "PWY-2941" "DESeq2" "PPMS" "Control" "0.000574310983263486" "BH" 0.00894010763946827 "L-lysine biosynthesis II"
"49" "PWY-3001" "DESeq2" "RRMS" "Control" "0.00147274840056181" "BH" 0.00535441085165495 "superpathway of L-isoleucine biosynthesis I"
"50" "PWY-4984" "DESeq2" "SPMS" "Control" "0.00239082250648054" "BH" 0.0171771401619448 "urea cycle"
"51" "PWY-5097" "DESeq2" "RRMS" "Control" "0.000473059827205341" "BH" 0.00211300056151719 "L-lysine biosynthesis VI"
"52" "PWY-5101" "DESeq2" "RRMS" "Control" "0.000576411415628664" "BH" 0.00248015554064076 "L-isoleucine biosynthesis II"
"53" "PWY-5104" "DESeq2" "RRMS" "Control" "0.000733543129186714" "BH" 0.0030445285627307 "L-isoleucine biosynthesis IV"
"54" "PWY-5121" "DESeq2" "RRMS" "Control" "0.000119936824347812" "BH" 0.000666620277407307 "superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"
"55" "PWY-5180" "DESeq2" "RRMS" "Control" "0.00261794598169095" "BH" 0.00858613052736402 "toluene degradation I (aerobic) (via o-cresol)"
"56" "PWY-5182" "DESeq2" "RRMS" "Control" "0.00261794598169095" "BH" 0.00858613052736402 "toluene degradation II (aerobic) (via 4-methylcatechol)"
"57" "PWY-5266" "DESeq2" "RRMS" "Control" "0.00288844903354466" "BH" 0.00927864792282497 "p-cymene degradation"
"58" "PWY-5273" "DESeq2" "RRMS" "Control" "0.00288844903354466" "BH" 0.00927864792282497 "p-cumate degradation"
"59" "PWY-5304" "DESeq2" "RRMS" "Control" "0.000647582082353486" "BH" 0.00275297915315635 "superpathway of sulfur oxidation (Acidianus ambivalens)"
"60" "PWY-5345" "DESeq2" "SPMS" "Control" "0.000223686912266829" "BH" 0.00234829592670873 "superpathway of L-methionine biosynthesis (by sulfhydrylation)"
"61" "PWY-5384" "DESeq2" "PPMS" "Control" "0.000300525983905214" "BH" 0.00539790901860519 "sucrose degradation IV (sucrose phosphorylase)"
"62" "PWY-5384" "DESeq2" "RRMS" "Control" "0.000112897389082019" "BH" 0.000653689820734159 "sucrose degradation IV (sucrose phosphorylase)"
"63" "PWY-5417" "DESeq2" "SPMS" "Control" "0.00334987615396511" "BH" 0.0211404346473204 "catechol degradation III (ortho-cleavage pathway)"
"64" "PWY-5431" "DESeq2" "SPMS" "Control" "0.00334987615396511" "BH" 0.0211404346473204 "aromatic compounds degradation via &beta;-ketoadipate"
"65" "PWY-5505" "DESeq2" "RRMS" "Control" "0.000155527651579797" "BH" 0.000792852919466574 "L-glutamate and L-glutamine biosynthesis"
"66" "PWY-5509" "DESeq2" "RRMS" "Control" "0.000541380396955717" "BH" 0.00239535288841728 "adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"67" "PWY-5509" "DESeq2" "SPMS" "Control" "0.00212915248691412" "BH" 0.0155361595529515 "adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"68" "PWY-5656" "DESeq2" "RRMS" "Control" "0.00014051102600689" "BH" 0.000732218568858127 "mannosylglycerate biosynthesis I"
"69" "PWY-5659" "DESeq2" "SPMS" "Control" "0.00488625793183412" "BH" 0.0281713883230436 "GDP-mannose biosynthesis"
"70" "PWY-5667" "DESeq2" "RRMS" "Control" "0.00023960236739922" "BH" 0.0011828790558972 "CDP-diacylglycerol biosynthesis I"
"71" "PWY-5677" "DESeq2" "PPMS" "Control" "0.00178779800293934" "BH" 0.0208725416843168 "succinate fermentation to butanoate"
"72" "PWY-5677" "DESeq2" "SPMS" "Control" "0.00378315379800857" "BH" 0.0232464845219737 "succinate fermentation to butanoate"
"73" "PWY-5686" "DESeq2" "RRMS" "Control" "0.000153681706038687" "BH" 0.000792051869584002 "UMP biosynthesis"
"74" "PWY-5705" "DESeq2" "RRMS" "Control" "0.00185802273039904" "BH" 0.00655197489140714 "allantoin degradation to glyoxylate III"
"75" "PWY-5837" "DESeq2" "PPMS" "Control" "0.00122261725643443" "BH" 0.0150253225988126 "1,4-dihydroxy-2-naphthoate biosynthesis I"
